W_Thickness,1um,1um,1um,1um,1um,1um,1um,1um,1um,1um,1um,1um,3um,3um,3um,3um,3um,3um,3um,3um,3um,3um,3um,3um,5um,5um,5um,5um,5um,5um,5um,5um,5um,5um,5um,5um,7um,7um,7um,7um,7um,7um,7um,7um,7um,7um,7um,7um,1um,1um,1um,1um,1um,1um,1um,1um,1um,1um,1um,1um,3um,3um,3um,3um,3um,3um,3um,3um,3um,3um,3um,3um,5um,5um,5um,5um,5um,5um,5um,5um,5um,5um,5um,5um,7um,7um,7um,7um,7um,7um,7um,7um,7um,7um,7um,7um,1um,1um,1um,1um,1um,1um,1um,1um,1um,1um,1um,1um,3um,3um,3um,3um,3um,3um,3um,3um,3um,3um,3um,3um,5um,5um,5um,5um,5um,5um,5um,5um,5um,5um,5um,5um,7um,7um,7um,7um,7um,7um,7um,7um,7um,7um,7um,7um
Diamond_Thickness,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um,250um
Angle,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,1.7deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,5deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg,10deg
PhysicsModel,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4,G4EmPenelopePhysics,G4EmLivermorePhysics,G4EmStandardPhysics,G4EmStandardPhysics-option4
Voltage,40kVp,40kVp,40kVp,40kVp,80kVp,80kVp,80kVp,80kVp,150kVp,150kVp,150kVp,150kVp,40kVp,40kVp,40kVp,40kVp,80kVp,80kVp,80kVp,80kVp,150kVp,150kVp,150kVp,150kVp,40kVp,40kVp,40kVp,40kVp,80kVp,80kVp,80kVp,80kVp,150kVp,150kVp,150kVp,150kVp,40kVp,40kVp,40kVp,40kVp,80kVp,80kVp,80kVp,80kVp,150kVp,150kVp,150kVp,150kVp,40kVp,40kVp,40kVp,40kVp,80kVp,80kVp,80kVp,80kVp,150kVp,150kVp,150kVp,150kVp,40kVp,40kVp,40kVp,40kVp,80kVp,80kVp,80kVp,80kVp,150kVp,150kVp,150kVp,150kVp,40kVp,40kVp,40kVp,40kVp,80kVp,80kVp,80kVp,80kVp,150kVp,150kVp,150kVp,150kVp,40kVp,40kVp,40kVp,40kVp,80kVp,80kVp,80kVp,80kVp,150kVp,150kVp,150kVp,150kVp,40kVp,40kVp,40kVp,40kVp,80kVp,80kVp,80kVp,80kVp,150kVp,150kVp,150kVp,150kVp,40kVp,40kVp,40kVp,40kVp,80kVp,80kVp,80kVp,80kVp,150kVp,150kVp,150kVp,150kVp,40kVp,40kVp,40kVp,40kVp,80kVp,80kVp,80kVp,80kVp,150kVp,150kVp,150kVp,150kVp,40kVp,40kVp,40kVp,40kVp,80kVp,80kVp,80kVp,80kVp,150kVp,150kVp,150kVp,150kVp
Energy (keV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.0,0.0,0.0,0.0,305531.2808846366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,809726.399115786,278871.02239817794,0.0,0.0,0.0,27940.460977382027,0.0,0.0,0.0,0.0,0.0,0.0,95805.02101189479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42278.32911051227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69618.31526864355,0.0,0.0,0.0,13193.76301266537,0.0,0.0,0.0,7721.515918113386,16767.073828595574,0.0,0.0,0.0,0.0,0.0,0.0,5634.1702041161225,0.0,0.0,0.0,0.0,0.0,26622.529437770074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25456.579243415177,0.0,8582.981188715044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
