# NIST X-ray attenuation tables (physics.nist.gov/PhysRefData/XrayMassCoef).
# Verified 2026-09-13 against the NIST website: all 92 elements and
# Air match row for row to the published 4 significant figures.
# One row per tabulated energy per element; elements H through U plus Air.
# energy_keV in keV; mass_attenuation and mass_energy_absorption in cm^2/g.
element,energy_keV,mass_attenuation,mass_energy_absorption
Ac,1,6469,6455
Ac,1.03923,6034,6020
Ac,1.08,5622,5608
Ac,1.08,5702,5688
Ac,1.17069,4905,4891
Ac,1.269,4203,4190
Ac,1.269,4289,4275
Ac,1.5,3082,3069
Ac,2,1696,1683
Ac,3,698.1,687
Ac,3.219,595.9,585.1
Ac,3.219,1537,1485
Ac,3.29373,1404,1358
Ac,3.3702,1307,1264
Ac,3.3702,1892,1822
Ac,3.62962,1564,1508
Ac,3.909,1296,1252
Ac,3.909,1504,1453
Ac,4,1426,1377
Ac,4.656,974.5,942.8
Ac,4.656,1034,1000
Ac,5,868.7,840.8
Ac,5.002,867.8,839.9
Ac,5.002,905.1,876.1
Ac,6,582.9,564.1
Ac,8,287.8,277.3
Ac,10,165.3,158
Ac,15,60.02,55.83
Ac,15.871,52.13,48.23
Ac,15.871,121.4,92.24
Ac,17.4031,104.2,73.5
Ac,19.0832,74.26,58.65
Ac,19.0832,103.6,74.48
Ac,19.4579,107.9,71.33
Ac,19.84,94.03,68.31
Ac,19.84,108.2,77.74
Ac,20,106.2,76.45
Ac,30,38.11,30
Ac,40,18.23,14.79
Ac,50,10.27,8.396
Ac,60,6.433,5.242
Ac,80,3.1,2.465
Ac,100,1.786,1.367
Ac,106.756,1.525,1.15
Ac,106.756,5.622,1.582
Ac,150,2.434,1.1
Ac,200,1.213,0.6581
Ac,300,0.4859,0.2896
Ac,400,0.2749,0.1632
Ac,500,0.1872,0.1085
Ac,600,0.1421,0.08018
Ac,800,0.09804,0.05311
Ac,1000,0.07686,0.0408
Ac,1250,0.06251,0.03258
Ac,1500,0.05504,0.02831
Ac,2000,0.04822,0.0249
Ac,3000,0.04409,0.02419
Ac,4000,0.04363,0.02539
Ac,5000,0.04438,0.02688
Ac,6000,0.0456,0.02832
Ac,8000,0.04856,0.03079
Ac,10000,0.05171,0.03275
Ac,15000,0.05895,0.03575
Ac,20000,0.06473,0.03692
Ag,1,7039,7029
Ag,1.5,2790,2782
Ag,2,1401,1393
Ag,3,513.6,507.3
Ag,3.3511,388.7,382.7
Ag,3.3511,1274,1223
Ag,3.43632,1200,1151
Ag,3.5237,1126,1082
Ag,3.5237,1547,1479
Ag,3.66203,1409,1348
Ag,3.8058,1282,1229
Ag,3.8058,1468,1406
Ag,4,1305,1252
Ag,5,738.5,712.2
Ag,6,461,445.7
Ag,8,216.4,209.2
Ag,10,119.3,114.9
Ag,15,39.98,37.8
Ag,20,18.36,16.95
Ag,25.514,9.527,8.534
Ag,25.514,55.39,20.31
Ag,30,36.68,16.6
Ag,40,17.2,9.869
Ag,50,9.444,6.066
Ag,60,5.766,3.938
Ag,80,2.651,1.907
Ag,100,1.47,1.062
Ag,150,0.5426,0.3622
Ag,200,0.2972,0.1751
Ag,300,0.156,0.07392
Ag,400,0.1131,0.04803
Ag,500,0.09321,0.03822
Ag,600,0.08153,0.03347
Ag,800,0.06766,0.02881
Ag,1000,0.05921,0.02632
Ag,1250,0.05217,0.02425
Ag,1500,0.04754,0.02284
Ag,2000,0.04209,0.02135
Ag,3000,0.03754,0.02082
Ag,4000,0.03606,0.02142
Ag,5000,0.03577,0.02232
Ag,6000,0.03601,0.02324
Ag,8000,0.03723,0.02499
Ag,10000,0.03882,0.02647
Ag,15000,0.04276,0.02889
Ag,20000,0.04609,0.03005
Air,1,3606,3599
Air,1.5,1191,1188
Air,2,527.9,526.2
Air,3,162.5,161.4
Air,3.2029,134,133
Air,3.2029,148.5,146
Air,4,77.88,76.36
Air,5,40.27,39.31
Air,6,23.41,22.7
Air,8,9.921,9.446
Air,10,5.12,4.742
Air,15,1.614,1.334
Air,20,0.7779,0.5389
Air,30,0.3538,0.1537
Air,40,0.2485,0.06833
Air,50,0.208,0.04098
Air,60,0.1875,0.03041
Air,80,0.1662,0.02407
Air,100,0.1541,0.02325
Air,150,0.1356,0.02496
Air,200,0.1233,0.02672
Air,300,0.1067,0.02872
Air,400,0.09549,0.02949
Air,500,0.08712,0.02966
Air,600,0.08055,0.02953
Air,800,0.07074,0.02882
Air,1000,0.06358,0.02789
Air,1250,0.05687,0.02666
Air,1500,0.05175,0.02547
Air,2000,0.04447,0.02345
Air,3000,0.03581,0.02057
Air,4000,0.03079,0.0187
Air,5000,0.02751,0.0174
Air,6000,0.02522,0.01647
Air,8000,0.02225,0.01525
Air,10000,0.02045,0.0145
Air,15000,0.0181,0.01353
Air,20000,0.01705,0.01311
Al,1,1185,1183
Al,1.5,402.2,400.1
Al,1.5596,362.1,360
Al,1.5596,3957,3829
Al,2,2263,2204
Al,3,788,773.2
Al,4,360.5,354.5
Al,5,193.4,190.2
Al,6,115.3,113.3
Al,8,50.33,49.18
Al,10,26.23,25.43
Al,15,7.955,7.487
Al,20,3.441,3.094
Al,30,1.128,0.8778
Al,40,0.5685,0.3601
Al,50,0.3681,0.184
Al,60,0.2778,0.1099
Al,80,0.2018,0.05511
Al,100,0.1704,0.03794
Al,150,0.1378,0.02827
Al,200,0.1223,0.02745
Al,300,0.1042,0.02816
Al,400,0.09276,0.02862
Al,500,0.08445,0.02868
Al,600,0.07802,0.02851
Al,800,0.06841,0.02778
Al,1000,0.06146,0.02686
Al,1250,0.05496,0.02565
Al,1500,0.05006,0.02451
Al,2000,0.04324,0.02266
Al,3000,0.03541,0.02024
Al,4000,0.03106,0.01882
Al,5000,0.02836,0.01795
Al,6000,0.02655,0.01739
Al,8000,0.02437,0.01678
Al,10000,0.02318,0.0165
Al,15000,0.02195,0.01631
Al,20000,0.02168,0.01633
Ar,1,3184,3180
Ar,1.5,1105,1102
Ar,2,512,509.3
Ar,3,170.3,168.2
Ar,3.2029,142.4,140.3
Ar,3.2029,1275,1153
Ar,4,757.2,697.9
Ar,5,422.5,395.3
Ar,6,259.3,244.9
Ar,8,118,112.5
Ar,10,63.16,60.38
Ar,15,19.83,18.86
Ar,20,8.629,8.074
Ar,30,2.697,2.382
Ar,40,1.228,0.9907
Ar,50,0.7012,0.502
Ar,60,0.4664,0.2904
Ar,80,0.276,0.128
Ar,100,0.2043,0.07344
Ar,150,0.1427,0.03703
Ar,200,0.1205,0.02998
Ar,300,0.09953,0.02757
Ar,400,0.08776,0.02727
Ar,500,0.07958,0.02708
Ar,600,0.07335,0.02679
Ar,800,0.06419,0.02601
Ar,1000,0.05762,0.0251
Ar,1250,0.0515,0.02394
Ar,1500,0.04695,0.02288
Ar,2000,0.04074,0.02123
Ar,3000,0.03384,0.01927
Ar,4000,0.03019,0.01827
Ar,5000,0.02802,0.01777
Ar,6000,0.02667,0.01753
Ar,8000,0.02517,0.01742
Ar,10000,0.02451,0.01754
Ar,15000,0.02418,0.018
Ar,20000,0.02453,0.01842
As,1,2121,2116
