# Measured source spectrum of ALS Beamline 8.3.2 (Advanced Light Source, LBNL).
# Non-uniform energy bins; energy_keV is the bin edge in keV, photon_counts the counts in the bin.
energy_keV,photon_counts
0.1,1.69875e-12
0.101394,1.71445e-12
0.102807,1.73028e-12
0.10424,1.74626e-12
0.105693,1.76238e-12
0.107167,1.77866e-12
0.108661,1.79508e-12
0.110175,1.81165e-12
0.111711,1.82837e-12
0.113268,1.84525e-12
0.114847,1.86229e-12
0.116448,1.87947e-12
0.118071,1.89682e-12
0.119717,1.91432e-12
0.121386,1.93198e-12
0.123078,1.94981e-12
0.124794,1.96779e-12
0.126533,1.98594e-12
0.128297,2.00426e-12
0.130085,2.02274e-12
0.131899,2.0414e-12
0.133737,2.06022e-12
0.135602,2.07921e-12
0.137492,2.09839e-12
0.139408,2.11773e-12
0.141352,2.13724e-12
0.143322,2.15694e-12
0.14532,2.17682e-12
0.147345,2.19687e-12
0.149399,2.21711e-12
0.151482,2.23754e-12
0.153593,2.25814e-12
0.155734,2.27894e-12
0.157905,2.29993e-12
0.160106,2.3211e-12
0.162338,2.34247e-12
0.164601,2.36403e-12
0.166896,2.38579e-12
0.169222,2.40775e-12
0.171581,2.4299e-12
0.173973,2.45225e-12
0.176398,2.47481e-12
0.178857,2.49757e-12
0.18135,2.52054e-12
0.183878,2.54372e-12
0.186441,2.5671e-12
0.18904,2.5907e-12
0.191675,2.6145e-12
0.194347,2.63853e-12
0.197056,2.66277e-12
0.199803,2.68723e-12
0.202588,2.71191e-12
0.205412,2.73681e-12
0.208275,2.76193e-12
0.211178,2.78729e-12
0.214122,2.81286e-12
0.217107,2.83867e-12
0.220133,2.86472e-12
0.223202,2.89099e-12
0.226313,2.9175e-12
0.229468,2.94425e-12
0.232666,2.97124e-12
0.23591,2.99847e-12
0.239198,3.02595e-12
0.242532,3.05367e-12
0.245913,3.08163e-12
0.249341,3.10985e-12
0.252817,3.13832e-12
0.256341,3.16705e-12
0.259914,3.19603e-12
0.263537,3.22526e-12
0.267211,3.25476e-12
0.270935,3.28452e-12
0.274712,3.31455e-12
0.278541,3.34484e-12
0.282424,3.3754e-12
0.286361,3.40623e-12
0.290353,3.43733e-12
0.2944,3.46871e-12
0.298504,3.50037e-12
0.302665,3.53231e-12
0.306884,3.56452e-12
0.311162,3.59703e-12
0.315499,3.62982e-12
0.319897,3.66289e-12
0.324356,3.69626e-12
0.328877,3.72993e-12
0.333462,3.76388e-12
0.33811,3.79814e-12
0.342823,3.83269e-12
0.347602,3.86755e-12
0.352447,3.90271e-12
0.35736,3.93818e-12
0.362342,3.97396e-12
0.367392,4.01005e-12
0.372514,4.04646e-12
