# Transmission tube source spectra, Geant4 physics model G4EmLivermorePhysics.
# Tungsten target on a 250 um diamond substrate; simulated for the XCal paper (Optics Express 2025).
# apex_angle_deg: anode apex angle; voltage_kV: tube voltage; target_thickness_um: tungsten thickness;
# energy_keV: bin center; photons: relative photon count per 0.1 keV bin (absolute scale not used).
apex_angle_deg,voltage_kV,target_thickness_um,energy_keV,photons
1.7,40,1,3.5,311594.4556
1.7,40,1,3.6,623188.9111
1.7,40,1,3.7,934783.3667
1.7,40,1,3.8,934783.3667
1.7,40,1,3.9,311594.4556
1.7,40,1,4,1869566.733
1.7,40,1,4.1,1557972.278
1.7,40,1,4.2,3115944.556
1.7,40,1,4.3,2492755.645
1.7,40,1,4.4,2492755.645
1.7,40,1,4.5,5297105.745
1.7,40,1,4.6,5297105.745
1.7,40,1,4.7,5297105.745
1.7,40,1,4.8,4362322.378
1.7,40,1,4.9,7478266.934
1.7,40,1,5,9347833.667
1.7,40,1,5.1,9036239.212
1.7,40,1,5.2,10594211.49
1.7,40,1,5.3,16202911.69
1.7,40,1,5.4,13086967.13
1.7,40,1,5.5,10905805.94
1.7,40,1,5.6,12775372.68
1.7,40,1,5.7,16826100.6
1.7,40,1,5.8,13086967.13
1.7,40,1,5.9,14956533.87
1.7,40,1,6,15891317.23
1.7,40,1,6.1,22434800.8
1.7,40,1,6.2,18072478.42
1.7,40,1,6.3,22123206.35
1.7,40,1,6.4,20253639.61
1.7,40,1,6.5,22434800.8
1.7,40,1,6.6,18695667.33
1.7,40,1,6.7,23992773.08
1.7,40,1,6.8,25239150.9
1.7,40,1,6.9,27420312.09
1.7,40,1,7,26485528.72
1.7,40,1,7.1,23369584.17
1.7,40,1,7.2,26797123.18
1.7,40,1,7.3,25862339.81
1.7,40,1,7.4,57644974.28
1.7,40,1,7.5,26485528.72
1.7,40,1,7.6,25862339.81
1.7,40,1,7.7,27420312.09
1.7,40,1,7.8,29601473.28
1.7,40,1,7.9,30224662.19
1.7,40,1,8,28666689.91
1.7,40,1,8.1,25550745.36
1.7,40,1,8.2,21500017.43
1.7,40,1,8.3,87246447.56
1.7,40,1,8.4,561181614.5
1.7,40,1,8.5,25550745.36
1.7,40,1,8.6,32094228.92
1.7,40,1,8.7,27420312.09
1.7,40,1,8.8,33652201.2
1.7,40,1,8.9,24304367.53
1.7,40,1,9,30847851.1
1.7,40,1,9.1,25862339.81
1.7,40,1,9.2,28043501
1.7,40,1,9.3,23992773.08
1.7,40,1,9.4,23681178.62
1.7,40,1,9.5,41753657.05
1.7,40,1,9.6,37391334.67
1.7,40,1,9.7,298195894
1.7,40,1,9.8,44869601.6
1.7,40,1,9.9,39572495.86
1.7,40,1,10,140840693.9
1.7,40,1,10.1,26485528.72
1.7,40,1,10.2,30224662.19
1.7,40,1,10.3,29289878.82
1.7,40,1,10.4,23369584.17
1.7,40,1,10.5,24304367.53
1.7,40,1,10.6,26173934.27
1.7,40,1,10.7,27108717.63
1.7,40,1,10.8,20253639.61
1.7,40,1,10.9,23057989.71
1.7,40,1,11,29289878.82
1.7,40,1,11.1,25550745.36
1.7,40,1,11.2,25239150.9
1.7,40,1,11.3,71666724.78
1.7,40,1,11.4,17760883.97
1.7,40,1,11.5,26173934.27
1.7,40,1,11.6,28355095.46
1.7,40,1,11.7,24615961.99
1.7,40,1,11.8,22746395.26
1.7,40,1,11.9,24927556.45
1.7,40,1,12,24304367.53
1.7,40,1,12.1,20876828.52
1.7,40,1,12.2,18072478.42
1.7,40,1,12.3,16514506.15
1.7,40,1,12.4,14333344.96
1.7,40,1,12.5,17449289.51
1.7,40,1,12.6,16826100.6
1.7,40,1,12.7,18384072.88
1.7,40,1,12.8,14021750.5
1.7,40,1,12.9,18384072.88
1.7,40,1,13,18384072.88
1.7,40,1,13.1,19942045.16
1.7,40,1,13.2,17449289.51
1.7,40,1,13.3,18384072.88
1.7,40,1,13.4,15579722.78
1.7,40,1,13.5,20565234.07
1.7,40,1,13.6,17760883.97
1.7,40,1,13.7,20253639.61
1.7,40,1,13.8,18384072.88
1.7,40,1,13.9,20876828.52
1.7,40,1,14,19942045.16
1.7,40,1,14.1,16202911.69
1.7,40,1,14.2,13398561.59
1.7,40,1,14.3,19318856.25
1.7,40,1,14.4,15579722.78
1.7,40,1,14.5,18384072.88
1.7,40,1,14.6,17760883.97
1.7,40,1,14.7,15891317.23
1.7,40,1,14.8,16202911.69
1.7,40,1,14.9,17449289.51
1.7,40,1,15,16514506.15
1.7,40,1,15.1,15579722.78
1.7,40,1,15.2,15268128.32
1.7,40,1,15.3,14956533.87
1.7,40,1,15.4,20253639.61
1.7,40,1,15.5,15891317.23
1.7,40,1,15.6,13398561.59
1.7,40,1,15.7,14956533.87
1.7,40,1,15.8,15891317.23
1.7,40,1,15.9,15579722.78
1.7,40,1,16,13710156.05
1.7,40,1,16.1,18695667.33
1.7,40,1,16.2,19007261.79
1.7,40,1,16.3,12463778.22
1.7,40,1,16.4,14956533.87
1.7,40,1,16.5,19630450.7
1.7,40,1,16.6,16202911.69
1.7,40,1,16.7,10905805.94
1.7,40,1,16.8,15268128.32
1.7,40,1,16.9,13710156.05
1.7,40,1,17,16826100.6
1.7,40,1,17.1,13710156.05
1.7,40,1,17.2,16202911.69
1.7,40,1,17.3,13398561.59
1.7,40,1,17.4,16514506.15
1.7,40,1,17.5,12463778.22
1.7,40,1,17.6,12775372.68
1.7,40,1,17.7,13398561.59
1.7,40,1,17.8,12775372.68
1.7,40,1,17.9,15891317.23
1.7,40,1,18,14021750.5
1.7,40,1,18.1,13398561.59
1.7,40,1,18.2,13086967.13
1.7,40,1,18.3,15268128.32
1.7,40,1,18.4,10594211.49
1.7,40,1,18.5,11840589.31
1.7,40,1,18.6,14021750.5
1.7,40,1,18.7,11840589.31
1.7,40,1,18.8,14956533.87
1.7,40,1,18.9,11217400.4
1.7,40,1,19,12775372.68
1.7,40,1,19.1,13710156.05
1.7,40,1,19.2,13398561.59
1.7,40,1,19.3,13710156.05
1.7,40,1,19.4,14333344.96
1.7,40,1,19.5,14644939.41
1.7,40,1,19.6,10905805.94
1.7,40,1,19.7,10282617.03
1.7,40,1,19.8,12775372.68
1.7,40,1,19.9,11840589.31
1.7,40,1,20,12463778.22
1.7,40,1,20.1,10905805.94
1.7,40,1,20.2,16202911.69
1.7,40,1,20.3,14021750.5
1.7,40,1,20.4,12463778.22
1.7,40,1,20.5,9971022.578
1.7,40,1,20.6,9971022.578
1.7,40,1,20.7,14021750.5
1.7,40,1,20.8,9659428.123
1.7,40,1,20.9,11217400.4
1.7,40,1,21,9659428.123
1.7,40,1,21.1,14644939.41
1.7,40,1,21.2,10594211.49
1.7,40,1,21.3,11528994.86
1.7,40,1,21.4,10282617.03
1.7,40,1,21.5,8413050.3
1.7,40,1,21.6,9971022.578
1.7,40,1,21.7,9036239.212
1.7,40,1,21.8,12463778.22
1.7,40,1,21.9,8413050.3
1.7,40,1,22,8724644.756
1.7,40,1,22.1,12463778.22
1.7,40,1,22.2,14021750.5
1.7,40,1,22.3,10594211.49
1.7,40,1,22.4,7789861.389
1.7,40,1,22.5,10594211.49
1.7,40,1,22.6,8724644.756
1.7,40,1,22.7,11217400.4
1.7,40,1,22.8,9036239.212
1.7,40,1,22.9,9659428.123
1.7,40,1,23,10594211.49
1.7,40,1,23.1,8724644.756
1.7,40,1,23.2,10282617.03
1.7,40,1,23.3,10905805.94
1.7,40,1,23.4,7478266.934
1.7,40,1,23.5,10905805.94
1.7,40,1,23.6,11217400.4
1.7,40,1,23.7,12775372.68
1.7,40,1,23.8,11528994.86
1.7,40,1,23.9,8724644.756
1.7,40,1,24,6855078.023
1.7,40,1,24.1,9347833.667
1.7,40,1,24.2,7789861.389
1.7,40,1,24.3,8724644.756
1.7,40,1,24.4,11840589.31
1.7,40,1,24.5,10282617.03
1.7,40,1,24.6,11528994.86
1.7,40,1,24.7,8101455.845
1.7,40,1,24.8,9659428.123
1.7,40,1,24.9,8413050.3
1.7,40,1,25,6543483.567
1.7,40,1,25.1,13086967.13
1.7,40,1,25.2,8101455.845
1.7,40,1,25.3,7789861.389
1.7,40,1,25.4,5920294.656
1.7,40,1,25.5,8101455.845
1.7,40,1,25.6,8413050.3
1.7,40,1,25.7,5920294.656
1.7,40,1,25.8,9659428.123
1.7,40,1,25.9,7478266.934
1.7,40,1,26,8724644.756
1.7,40,1,26.1,8101455.845
1.7,40,1,26.2,7166672.478
1.7,40,1,26.3,7166672.478
1.7,40,1,26.4,6231889.111
1.7,40,1,26.5,8413050.3
1.7,40,1,26.6,10594211.49
1.7,40,1,26.7,7166672.478
1.7,40,1,26.8,8724644.756
1.7,40,1,26.9,6543483.567
1.7,40,1,27,6231889.111
1.7,40,1,27.1,7166672.478
1.7,40,1,27.2,9347833.667
1.7,40,1,27.3,6543483.567
