# Transmission tube source spectra, Geant4 physics model G4EmPenelopePhysics.
# Tungsten target on a 250 um diamond substrate; simulated for the XCal paper (Optics Express 2025).
# apex_angle_deg: anode apex angle; voltage_kV: tube voltage; target_thickness_um: tungsten thickness;
# energy_keV: bin center; photons: relative photon count per 0.1 keV bin (absolute scale not used).
apex_angle_deg,voltage_kV,target_thickness_um,energy_keV,photons
1.7,40,1,3.6,310255.9914
1.7,40,1,3.7,620511.9828
1.7,40,1,3.8,1241023.966
1.7,40,1,3.9,930767.9742
1.7,40,1,4,930767.9742
1.7,40,1,4.1,2792303.923
1.7,40,1,4.2,1241023.966
1.7,40,1,4.3,3102559.914
1.7,40,1,4.4,3102559.914
1.7,40,1,4.5,4033327.888
1.7,40,1,4.6,5894863.837
1.7,40,1,4.7,3723071.897
1.7,40,1,4.8,5274351.854
1.7,40,1,4.9,5584607.845
1.7,40,1,5,6515375.82
1.7,40,1,5.1,8066655.777
1.7,40,1,5.2,10858959.7
1.7,40,1,5.3,10238447.72
1.7,40,1,5.4,8997423.751
1.7,40,1,5.5,16133311.55
1.7,40,1,5.6,15512799.57
1.7,40,1,5.7,14892287.59
1.7,40,1,5.8,13961519.61
1.7,40,1,5.9,15823055.56
1.7,40,1,6,17064079.53
1.7,40,1,6.1,14892287.59
1.7,40,1,6.2,18925615.48
1.7,40,1,6.3,22028175.39
1.7,40,1,6.4,17994847.5
1.7,40,1,6.5,16443567.54
1.7,40,1,6.6,22648687.37
1.7,40,1,6.7,21717919.4
1.7,40,1,6.8,22648687.37
1.7,40,1,6.9,21407663.41
1.7,40,1,7,16133311.55
1.7,40,1,7.1,19546127.46
1.7,40,1,7.2,23269199.36
1.7,40,1,7.3,21407663.41
1.7,40,1,7.4,70428110.05
1.7,40,1,7.5,26992271.25
1.7,40,1,7.6,25130735.3
1.7,40,1,7.7,20166639.44
1.7,40,1,7.8,23269199.36
1.7,40,1,7.9,25751247.29
1.7,40,1,8,23269199.36
1.7,40,1,8.1,29784575.18
1.7,40,1,8.2,26061503.28
1.7,40,1,8.3,112312668.9
1.7,40,1,8.4,865303960.1
1.7,40,1,8.5,27612783.24
1.7,40,1,8.6,25440991.3
1.7,40,1,8.7,27923039.23
1.7,40,1,8.8,33507647.07
1.7,40,1,8.9,22028175.39
1.7,40,1,9,22338431.38
1.7,40,1,9.1,23579455.35
1.7,40,1,9.2,22958943.36
1.7,40,1,9.3,25130735.3
1.7,40,1,9.4,24510223.32
1.7,40,1,9.5,62051198.28
1.7,40,1,9.6,40643534.88
1.7,40,1,9.7,386889221.3
1.7,40,1,9.8,63912734.23
1.7,40,1,9.9,45607630.74
1.7,40,1,10,195771530.6
1.7,40,1,10.1,26992271.25
1.7,40,1,10.2,28233295.22
1.7,40,1,10.3,20787151.42
1.7,40,1,10.4,20787151.42
