# Transmission tube source spectra, Geant4 physics model G4EmStandardPhysics-option4.
# Tungsten target on a 250 um diamond substrate; simulated for the XCal paper (Optics Express 2025).
# apex_angle_deg: anode apex angle; voltage_kV: tube voltage; target_thickness_um: tungsten thickness;
# energy_keV: bin center; photons: relative photon count per 0.1 keV bin (absolute scale not used).
apex_angle_deg,voltage_kV,target_thickness_um,energy_keV,photons
1.7,40,1,3.4,269908.7997
1.7,40,1,3.6,809726.3991
1.7,40,1,3.7,809726.3991
1.7,40,1,3.8,269908.7997
1.7,40,1,3.9,269908.7997
1.7,40,1,4,809726.3991
1.7,40,1,4.1,1349543.999
1.7,40,1,4.2,2159270.398
1.7,40,1,4.3,4858358.395
1.7,40,1,4.4,3778723.196
1.7,40,1,4.5,6747719.993
1.7,40,1,4.6,6477811.193
1.7,40,1,4.7,6747719.993
1.7,40,1,4.8,7827355.191
1.7,40,1,4.9,8367172.791
1.7,40,1,5,8367172.791
1.7,40,1,5.1,10796351.99
1.7,40,1,5.2,7827355.191
1.7,40,1,5.3,11066260.79
1.7,40,1,5.4,12685713.59
1.7,40,1,5.5,12415804.79
1.7,40,1,5.6,14575075.18
1.7,40,1,5.7,13765348.78
1.7,40,1,5.8,15114892.78
1.7,40,1,5.9,15114892.78
1.7,40,1,6,14305166.38
1.7,40,1,6.1,18893615.98
1.7,40,1,6.2,17544071.98
1.7,40,1,6.3,17544071.98
1.7,40,1,6.4,21862612.78
1.7,40,1,6.5,25911244.77
1.7,40,1,6.6,21322795.18
1.7,40,1,6.7,21052886.38
1.7,40,1,6.8,20513068.78
1.7,40,1,6.9,24831609.57
1.7,40,1,7,23482065.57
1.7,40,1,7.1,24561700.77
1.7,40,1,7.2,25371427.17
1.7,40,1,7.3,21592703.98
1.7,40,1,7.4,52092398.34
1.7,40,1,7.5,27800606.37
1.7,40,1,7.6,25911244.77
1.7,40,1,7.7,25641335.97
1.7,40,1,7.8,19703342.38
1.7,40,1,7.9,27530697.57
1.7,40,1,8,26451062.37
1.7,40,1,8.1,29420059.17
1.7,40,1,8.2,24831609.57
1.7,40,1,8.3,84481454.31
1.7,40,1,8.4,552233404.2
1.7,40,1,8.5,31039511.97
1.7,40,1,8.6,29959876.77
1.7,40,1,8.7,29150150.37
1.7,40,1,8.8,31849238.37
1.7,40,1,8.9,24021883.17
1.7,40,1,9,29150150.37
1.7,40,1,9.1,24561700.77
1.7,40,1,9.2,25101518.37
1.7,40,1,9.3,31849238.37
1.7,40,1,9.4,28070515.17
1.7,40,1,9.5,45614587.15
1.7,40,1,9.6,40486319.96
1.7,40,1,9.7,287452871.7
1.7,40,1,9.8,50472945.54
1.7,40,1,9.9,38866867.16
1.7,40,1,10,139542849.4
1.7,40,1,10.1,23212156.77
1.7,40,1,10.2,26720971.17
1.7,40,1,10.3,25101518.37
1.7,40,1,10.4,21592703.98
1.7,40,1,10.5,25371427.17
1.7,40,1,10.6,18893615.98
1.7,40,1,10.7,25101518.37
1.7,40,1,10.8,21052886.38
1.7,40,1,10.9,22402430.38
1.7,40,1,11,25371427.17
1.7,40,1,11.1,20243159.98
1.7,40,1,11.2,21322795.18
1.7,40,1,11.3,66937382.33
1.7,40,1,11.4,20243159.98
1.7,40,1,11.5,23482065.57
1.7,40,1,11.6,24561700.77
1.7,40,1,11.7,24831609.57
1.7,40,1,11.8,17274163.18
1.7,40,1,11.9,17544071.98
1.7,40,1,12,22942247.97
1.7,40,1,12.1,19433433.58
1.7,40,1,12.2,15924619.18
1.7,40,1,12.3,18353798.38
1.7,40,1,12.4,17544071.98
1.7,40,1,12.5,16464436.78
1.7,40,1,12.6,14575075.18
1.7,40,1,12.7,18083889.58
1.7,40,1,12.8,18083889.58
1.7,40,1,12.9,19703342.38
1.7,40,1,13,17813980.78
1.7,40,1,13.1,18083889.58
1.7,40,1,13.2,16194527.98
1.7,40,1,13.3,19703342.38
1.7,40,1,13.4,16464436.78
1.7,40,1,13.5,18893615.98
1.7,40,1,13.6,17274163.18
1.7,40,1,13.7,16734345.58
1.7,40,1,13.8,19163524.78
1.7,40,1,13.9,18623707.18
1.7,40,1,14,21322795.18
1.7,40,1,14.1,19163524.78
1.7,40,1,14.2,20782977.58
1.7,40,1,14.3,15924619.18
1.7,40,1,14.4,20513068.78
1.7,40,1,14.5,17544071.98
1.7,40,1,14.6,15654710.38
1.7,40,1,14.7,16464436.78
1.7,40,1,14.8,16194527.98
1.7,40,1,14.9,19703342.38
1.7,40,1,15,16194527.98
1.7,40,1,15.1,16734345.58
1.7,40,1,15.2,17274163.18
1.7,40,1,15.3,20782977.58
1.7,40,1,15.4,14844983.98
1.7,40,1,15.5,16194527.98
1.7,40,1,15.6,13495439.99
1.7,40,1,15.7,13495439.99
1.7,40,1,15.8,13495439.99
1.7,40,1,15.9,14844983.98
1.7,40,1,16,16464436.78
1.7,40,1,16.1,17274163.18
1.7,40,1,16.2,16194527.98
1.7,40,1,16.3,18623707.18
1.7,40,1,16.4,18623707.18
1.7,40,1,16.5,15114892.78
1.7,40,1,16.6,13765348.78
1.7,40,1,16.7,16464436.78
1.7,40,1,16.8,11875987.19
1.7,40,1,16.9,16194527.98
1.7,40,1,17,11606078.39
1.7,40,1,17.1,15114892.78
1.7,40,1,17.2,12415804.79
1.7,40,1,17.3,14305166.38
1.7,40,1,17.4,14844983.98
1.7,40,1,17.5,15114892.78
1.7,40,1,17.6,16194527.98
1.7,40,1,17.7,14305166.38
1.7,40,1,17.8,13225531.19
1.7,40,1,17.9,14844983.98
1.7,40,1,18,13495439.99
1.7,40,1,18.1,12955622.39
1.7,40,1,18.2,17544071.98
1.7,40,1,18.3,11606078.39
1.7,40,1,18.4,16734345.58
1.7,40,1,18.5,16194527.98
1.7,40,1,18.6,13225531.19
1.7,40,1,18.7,13765348.78
1.7,40,1,18.8,17274163.18
1.7,40,1,18.9,11066260.79
1.7,40,1,19,16734345.58
1.7,40,1,19.1,13495439.99
1.7,40,1,19.2,15114892.78
1.7,40,1,19.3,10796351.99
1.7,40,1,19.4,8906990.39
1.7,40,1,19.5,10526443.19
1.7,40,1,19.6,12145895.99
1.7,40,1,19.7,11336169.59
1.7,40,1,19.8,10796351.99
1.7,40,1,19.9,12685713.59
1.7,40,1,20,12685713.59
1.7,40,1,20.1,11875987.19
1.7,40,1,20.2,11606078.39
