# Transmission tube source spectra, Geant4 physics model G4EmStandardPhysics.
# Tungsten target on a 250 um diamond substrate; simulated for the XCal paper (Optics Express 2025).
# apex_angle_deg: anode apex angle; voltage_kV: tube voltage; target_thickness_um: tungsten thickness;
# energy_keV: bin center; photons: relative photon count per 0.1 keV bin (absolute scale not used).
apex_angle_deg,voltage_kV,target_thickness_um,energy_keV,photons
1.7,40,1,3.3,107226.2393
1.7,40,1,3.4,107226.2393
1.7,40,1,3.5,321678.7179
1.7,40,1,3.6,321678.7179
1.7,40,1,3.7,1286714.872
1.7,40,1,3.8,1286714.872
1.7,40,1,3.9,1072262.393
1.7,40,1,4,1608393.59
1.7,40,1,4.1,1715619.829
1.7,40,1,4.2,2895108.461
1.7,40,1,4.3,3431239.658
1.7,40,1,4.4,3538465.897
1.7,40,1,4.5,4717954.53
1.7,40,1,4.6,6004669.402
1.7,40,1,4.7,7291384.273
1.7,40,1,4.8,7291384.273
1.7,40,1,4.9,9114230.342
1.7,40,1,5,10400945.21
1.7,40,1,5.1,11687660.09
1.7,40,1,5.2,12116565.04
1.7,40,1,5.3,12331017.52
1.7,40,1,5.4,16083935.9
1.7,40,1,5.5,14904447.26
1.7,40,1,5.6,16727293.33
1.7,40,1,5.7,16620067.09
1.7,40,1,5.8,20801890.43
1.7,40,1,5.9,19729628.03
1.7,40,1,6,20480211.71
1.7,40,1,6.1,18657365.64
1.7,40,1,6.2,22624736.5
1.7,40,1,6.3,25090940
1.7,40,1,6.4,25305392.48
1.7,40,1,6.5,27128238.55
1.7,40,1,6.6,25305392.48
1.7,40,1,6.7,26699333.59
1.7,40,1,6.8,27557143.5
1.7,40,1,6.9,28200500.94
1.7,40,1,7,26377654.87
1.7,40,1,7.1,25841523.67
1.7,40,1,7.2,30345025.73
1.7,40,1,7.3,27557143.5
1.7,40,1,7.4,61333408.89
1.7,40,1,7.5,29701668.29
1.7,40,1,7.6,33669039.14
1.7,40,1,7.7,31846193.08
1.7,40,1,7.8,28629405.9
1.7,40,1,7.9,32489550.51
1.7,40,1,8,28200500.94
1.7,40,1,8.1,35599111.45
1.7,40,1,8.2,32918455.47
1.7,40,1,8.3,93930185.64
1.7,40,1,8.4,610867885.4
1.7,40,1,8.5,33240134.19
1.7,40,1,8.6,32811229.23
1.7,40,1,8.7,33240134.19
1.7,40,1,8.8,41174875.9
1.7,40,1,8.9,32811229.23
1.7,40,1,9,34634075.3
1.7,40,1,9.1,34741301.54
1.7,40,1,9.2,35062980.26
1.7,40,1,9.3,33454586.67
1.7,40,1,9.4,32275098.03
1.7,40,1,9.5,54363703.33
1.7,40,1,9.6,46536187.86
1.7,40,1,9.7,317175215.9
1.7,40,1,9.8,52326404.78
1.7,40,1,9.9,44713341.79
1.7,40,1,10,161804395.1
1.7,40,1,10.1,29487215.81
1.7,40,1,10.2,34634075.3
1.7,40,1,10.3,31095609.4
1.7,40,1,10.4,29058310.85
1.7,40,1,10.5,26270428.63
1.7,40,1,10.6,28629405.9
1.7,40,1,10.7,27771595.98
1.7,40,1,10.8,28951084.61
1.7,40,1,10.9,27449917.26
1.7,40,1,11,30666704.44
1.7,40,1,11.1,25734297.44
1.7,40,1,11.2,28951084.61
1.7,40,1,11.3,73557200.17
1.7,40,1,11.4,26913786.07
1.7,40,1,11.5,25734297.44
1.7,40,1,11.6,31524514.36
1.7,40,1,11.7,30023347.01
1.7,40,1,11.8,23911451.37
1.7,40,1,11.9,25627071.2
1.7,40,1,12,29916120.77
1.7,40,1,12.1,27021012.31
1.7,40,1,12.2,21766926.58
1.7,40,1,12.3,23804225.13
1.7,40,1,12.4,23804225.13
1.7,40,1,12.5,24233130.08
1.7,40,1,12.6,22624736.5
1.7,40,1,12.7,23696998.89
1.7,40,1,12.8,23696998.89
1.7,40,1,12.9,23053641.45
1.7,40,1,13,22088605.3
1.7,40,1,13.1,23804225.13
1.7,40,1,13.2,21981379.06
1.7,40,1,13.3,21659700.34
1.7,40,1,13.4,21230795.38
1.7,40,1,13.5,23696998.89
1.7,40,1,13.6,21230795.38
1.7,40,1,13.7,21981379.06
1.7,40,1,13.8,23696998.89
1.7,40,1,13.9,21445247.86
1.7,40,1,14,22088605.3
1.7,40,1,14.1,21981379.06
1.7,40,1,14.2,18550139.4
1.7,40,1,14.3,19407949.32
1.7,40,1,14.4,20480211.71
1.7,40,1,14.5,22946415.21
1.7,40,1,14.6,21230795.38
1.7,40,1,14.7,21338021.62
1.7,40,1,14.8,22517510.26
1.7,40,1,14.9,20158532.99
1.7,40,1,15,25090940
1.7,40,1,15.1,18764591.88
1.7,40,1,15.2,21874152.82
1.7,40,1,15.3,17906781.97
1.7,40,1,15.4,18871818.12
1.7,40,1,15.5,18228460.68
1.7,40,1,15.6,21874152.82
1.7,40,1,15.7,21230795.38
1.7,40,1,15.8,18979044.36
1.7,40,1,15.9,20694664.19
1.7,40,1,16,18335686.92
1.7,40,1,16.1,20480211.71
1.7,40,1,16.2,20372985.47
1.7,40,1,16.3,20480211.71
1.7,40,1,16.4,19836854.27
1.7,40,1,16.5,17156198.29
1.7,40,1,16.6,19407949.32
1.7,40,1,16.7,16834519.57
1.7,40,1,16.8,20265759.23
1.7,40,1,16.9,16298388.38
1.7,40,1,17,19515175.55
1.7,40,1,17.1,16941745.81
1.7,40,1,17.2,17585103.25
1.7,40,1,17.3,18121234.44
1.7,40,1,17.4,17692329.49
